annualGrammy,category,awardType,awardFor,name
8,Best Original Jazz Composition,Individual,Jazz Suite On The Mass Texts,Jazz Suite On The Mass Texts
8,Best Instrumental Arrangement,Individual,A Taste Of Honey,A Taste Of Honey
8,Best Arrangement Accompanying A Vocalist Or Instrumentalist,Individual,It Was A Very Good Year,It Was A Very Good Year
8,Best Contemporary (R&R) Single,Work,King Of The Road,Roger Miller
8,Best Contemporary (R&R) Vocal Performance - Female,Individual,I Know A Place,I Know A Place
8,Best Contemporary (R&R) Vocal Performance - Male,Work,King Of The Road,Roger Miller
8,Best Contemporary (R&R) Performance - Group (Vocal Or Instrumental),Individual,Flowers On The Wall,Flowers On The Wall
8,Best Rhythm & Blues Recording,Individual,Papa's Got A Brand New Bag,Papa's Got A Brand New Bag
8,Best Folk Recording,Individual,An Evening With Belafonte/Makeba,An Evening With Belafonte/Makeba
8,Best Gospel Or Other Religious Recording (Musical),Individual,Southland Favorites,Southland Favorites
8,Best Country & Western Single,Work,King Of The Road,Roger Miller
8,Best Country & Western Album,Work,The Return Of Roger Miller,Roger Miller
8,Best Country & Western Vocal Performance - Female,Individual,Queen Of The House,Queen Of The House
8,Best Country & Western Vocal Performance - Male,Work,King Of The Road,Roger Miller
8,Best Country & Western Song,Work,King Of The Road,Roger Miller
8,Best New Country & Western Artist,Individual,,
8,Best Engineered Recording - Non-Classical,Individual,A Taste Of Honey,A Taste Of Honey
8,"Best Engineered Recording, Classical",Individual,Horowitz At Carnegie Hall - An Historic Return,Horowitz At Carnegie Hall - An Historic Return
8,Best Album Cover - Photography,Individual,Jazz Suite On The Mass Texts,Jazz Suite On The Mass Texts
8,Best Album Cover - Graphic Arts,Individual,Bartók: Concerto No. 2 For Violin/Stravinsky: Concerto For Violin,Bartók: Concerto No. 2 For Violin/Stravinsky: Concerto For Violin
8,Best Classical Performance - Orchestra,Individual,Ives: Symphony No. 4,Ives: Symphony No. 4
8,Best Classical Chamber Music Performance - Instrumental Or Vocal,Individual,Bartók: The Six String Quartets - Nos. 1-6,Bartók: The Six String Quartets - Nos. 1-6
8,Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),Individual,Beethoven: Piano Concerto No. 4 In G,Beethoven: Piano Concerto No. 4 In G
8,Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),Work,Horowitz At Carnegie Hall - An Historic Return,Vladimir Horowitz
8,Best Opera Recording,Individual,Berg: Wozzeck,Berg: Wozzeck
8,Best Classical Choral Performance (Other Than Opera),Individual,Stravinsky: Symphony Of Psalms/Poulenc: Gloria,Stravinsky: Symphony Of Psalms/Poulenc: Gloria
8,Best Classical Vocal Soloist Performance,Individual,"Strauss: Salome (Dance Of The Seven Veils, Interlude, Final Scene)/The Egyptian Helen (Awakening Scene)","Strauss: Salome (Dance Of The Seven Veils, Interlude, Final Scene)/The Egyptian Helen (Awakening Scene)"
8,Best Composition By A Contemporary Classical Composer,Individual,Ives: Symphony No. 4,Ives: Symphony No. 4
8,Most Promising New Classical Recording Artist,Individual,Bach: Goldberg Variations,Bach: Goldberg Variations
9,Record Of The Year,Work,Strangers In The Night,Frank Sinatra
9,Album Of The Year,Work,A Man And His Music,Frank Sinatra
9,Song Of The Year,Work,Michelle,John Lennon
9,Best Instrumental Theme,Individual,Batman Theme,Batman Theme
9,"Best Vocal Performance, Female",Individual,If He Walked Into My Life,If He Walked Into My Life
9,"Best Vocal Performance, Male",Work,Strangers In The Night,Frank Sinatra
9,Best Instrumental Performance (Other Than Jazz),Individual,What Now My Love,What Now My Love
9,Best Performance By A Vocal Group,Individual,A Man And A Woman,A Man And A Woman
9,Best Performance By A Chorus,Individual,Somewhere My Love (Lara's Theme From Dr. Zhivago),Somewhere My Love (Lara's Theme From Dr. Zhivago)
9,Best Original Score Written For A Motion Picture Or Television Show,Individual,Dr. Zhivago,Dr. Zhivago
9,Best Score From An Original Cast Show Album,Individual,Mame,Mame
9,Best Comedy Performance,Individual,Wonderfulness,Wonderfulness
9,"Best Spoken Word, Documentary Or Drama Recording",Individual,Edward R. Murrow - A Reporter Remembers Vol. I The War Years,Edward R. Murrow - A Reporter Remembers Vol. I The War Years
9,Best Recording For Children,Individual,"Dr. Seuss Presents - ""If I Ran The Zoo"" And ""Sleep Book""","Dr. Seuss Presents - ""If I Ran The Zoo"" And ""Sleep Book"""
9,Best Album Notes,Individual,Sinatra At The Sands,Sinatra At The Sands
9,Best Instrumental Jazz Performance - Group Or Soloist With Group,Individual,Goin' Out Of My Head,Goin' Out Of My Head
9,Best Original Jazz Composition,Work,In The Beginning God,Duke Ellington
9,Best Contemporary (R&R) Recording,Individual,Winchester Cathedral,Winchester Cathedral
9,Best Contemporary (R&R) Solo Vocal Performance - Male Or Female,Individual,Eleanor Rigby,Eleanor Rigby
9,"Best Contemporary (R&R) Group Performance, Vocal Or Instrumental",Individual,"Monday, Monday","Monday, Monday"
9,Best Rhythm & Blues Recording,Individual,Crying Time,Crying Time
9,"Best Rhythm & Blues Solo Vocal Performance, Male Or Female",Individual,Crying Time,Crying Time
9,"Best Rhythm & Blues Group Performance, Vocal Or Instrumental",Individual,Hold It Right There,Hold It Right There
9,Best Folk Recording,Individual,Blues In The Street,Blues In The Street
9,Best Sacred Recording (Musical),Individual,Grand Old Gospel,Grand Old Gospel
9,Best Country & Western Recording,Individual,Almost Persuaded,Almost Persuaded
9,Best Country & Western Vocal Performance - Female,Individual,Don't Touch Me,Don't Touch Me
9,"Best Country & Western Vocal Performance, Male",Individual,Almost Persuaded,Almost Persuaded
9,Best Country & Western Song,Individual,Almost Persuaded,Almost Persuaded
9,Best Instrumental Arrangement,Individual,What Now My Love,What Now My Love
9,Best Arrangement Accompanying A Vocalist Or Instrumentalist,Individual,Strangers In The Night,Strangers In The Night
9,Best Engineered Recording - Non-Classical,Individual,Strangers In The Night,Strangers In The Night
9,Best Engineered Recording - Classical,Individual,Wagner: Lohengrin,Wagner: Lohengrin
9,"Best Album Cover, Photography",Individual,Confessions Of A Broken Man,Confessions Of A Broken Man
9,"Best Album Cover, Graphic Arts",Individual,Revolver,Revolver
9,Album Of The Year - Classical,Individual,Ives: Symphony No. 1 In D Minor,Ives: Symphony No. 1 In D Minor
9,Best Classical Performance - Orchestra,Individual,Mahler: Symphony No. 6 In A Minor,Mahler: Symphony No. 6 In A Minor
9,Best Chamber Music Performance - Instrumental Or Vocal,Individual,"Boston Symphony Chamber Players - Works Of Mozart, Brahms, Beethoven, Fine, Copland, Carter, Piston","Boston Symphony Chamber Players - Works Of Mozart, Brahms, Beethoven, Fine, Copland, Carter, Piston"
9,Best Classical Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),Individual,"Baroque Guitar (Works Of Bach, Sanz, Weiss, Etc.)","Baroque Guitar (Works Of Bach, Sanz, Weiss, Etc.)"
9,Best Opera Recording,Work,Wagner: Die Walkure,Georg Solti
9,Best Classical Choral Performance (Other Than Opera),Individual,Handel: Messiah,Handel: Messiah
9,Best Classical Vocal Soloist Performance (With Or Without Orchestra),Individual,"Prima Donna (Works Of Barber, Purcell, Etc.)","Prima Donna (Works Of Barber, Purcell, Etc.)"
10,Record Of The Year,Individual,"Up, Up And Away","Up, Up And Away"
10,Album Of The Year,Work,Sgt. Pepper's Lonely Hearts Club Band,The Beatles
10,Song Of The Year,Individual,"Up, Up And Away","Up, Up And Away"
10,Best Instrumental Theme,Individual,Mission: Impossible,Mission: Impossible
10,"Best Vocal Performance, Female",Individual,Ode To Billie Joe,Ode To Billie Joe
10,"Best Vocal Performance, Male",Work,By The Time I Get To Phoenix,Glen Campbell
10,Best Instrumental Performance,Individual,Chet Atkins Picks The Best,Chet Atkins Picks The Best
10,Best Performance By A Vocal Group,Individual,"Up, Up And Away","Up, Up And Away"
10,Best Performance By A Chorus,Individual,"Up, Up And Away","Up, Up And Away"
10,Best Original Score Written For A Motion Picture Or A Television Show,Individual,Mission: Impossible,Mission: Impossible
10,Best Score From An Original Cast Show Album,Individual,Cabaret,Cabaret
10,Best Comedy Recording,Individual,Revenge,Revenge
10,Best New Artist,Individual,Bobbie Gentry,Bobbie Gentry
10,"Best Instrumental Jazz Performance, Small Group Or Soloist With Small Group",Individual,"Mercy, Mercy, Mercy","Mercy, Mercy, Mercy"
10,"Best Instrumental Jazz Performance, Large Group Or Soloist With Large Group",Work,Far East Suite,Duke Ellington
10,Best Contemporary Single,Individual,"Up, Up And Away","Up, Up And Away"
10,Best Contemporary Album,Work,Sgt. Pepper's Lonely Hearts Club Band,The Beatles
10,Best Contemporary Female Solo Vocal Performance,Individual,Ode To Billie Joe,Ode To Billie Joe
10,Best Contemporary Male Solo Vocal Performance,Work,By The Time I Get To Phoenix,Glen Campbell
10,Best Contemporary Group Performance (Vocal Or Instrumental),Individual,"Up, Up And Away","Up, Up And Away"
10,Best Rhythm & Blues Recording,Work,Respect,Aretha Franklin
10,"Best Rhythm & Blues Solo Vocal Performance, Female",Work,Respect,Aretha Franklin
10,"Best Rhythm & Blues Solo Vocal Performance, Male",Individual,Dead End Street,Dead End Street
10,"Best Rhythm & Blues Group Performance, Vocal Or Instrumental",Individual,Soul Man,Soul Man
10,Best Sacred Performance,Individual,How Great Thou Art,How Great Thou Art
10,Best Gospel Performance,Individual,More Grand Old Gospel,More Grand Old Gospel
10,Best Folk Performance,Individual,Gentle On My Mind,Gentle On My Mind
10,Best Country & Western Recording,Work,Gentle On My Mind,Glen Campbell
10,"Best Country & Western Solo Vocal Performance, Female",Individual,I Don't Wanna Play House,I Don't Wanna Play House
10,"Best Country & Western Solo Vocal Performance, Male",Work,Gentle On My Mind,Glen Campbell
10,"Best Country & Western Performance Duet, Trio Or Group (Vocal Or Instrumental)",Individual,Jackson,Jackson
10,Best Country & Western Song,Individual,Gentle On My Mind,Gentle On My Mind
10,"Best Spoken Word, Documentary Or Drama Recording",Individual,Gallant Men,Gallant Men
10,Best Recording For Children,Individual,Dr. Seuss: How The Grinch Stole Christmas,Dr. Seuss: How The Grinch Stole Christmas
10,Best Instrumental Arrangement,Individual,Alfie,Alfie
10,Best Arrangement Accompanying Vocalist(s) Or Instrumentalist(s),Individual,Ode To Billie Joe,Ode To Billie Joe
10,Best Engineered Recording - Non-Classical,Work,Sgt. Pepper's Lonely Hearts Club Band,The Beatles
10,"Best Engineered Recording, Classical",Individual,The Glorious Sound Of Brass,The Glorious Sound Of Brass
10,"Best Album Cover, Photography",Individual,Bob Dylan's Greatest Hits,Bob Dylan's Greatest Hits
10,"Best Album Cover, Graphic Arts",Work,Sgt. Pepper's Lonely Hearts Club Band,The Beatles
10,Best Album Notes,Individual,Suburban Attitudes In Country Verse,Suburban Attitudes In Country Verse
10,"Album Of The Year, Classical",Work,Berg: Wozzeck,Pierre Boulez
10,Best Classical Performance - Orchestra,Individual,Stravinsky: Firebird And Petrouchka Suites,Stravinsky: Firebird And Petrouchka Suites
10,Best Chamber Music Performance,Individual,West Meets East,West Meets East
10,Best Classical Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),Work,"Horowitz In Concert (Haydn, Schumann, Scriabin, Debussy, Mozart, Chopin)",Vladimir Horowitz
10,Best Opera Recording,Work,Berg: Wozzeck,Pierre Boulez
10,Best Classical Choral Performance (Other Than Opera),Individual,Mahler: Symphony No. 8 In E Flat Major (Symphony Of A Thousand),Mahler: Symphony No. 8 In E Flat Major (Symphony Of A Thousand)
10,Best Classical Vocal Soloist Performance,Individual,"Prima Donna, Volume 2","Prima Donna, Volume 2"
11,Record Of The Year,Individual,Mrs. Robinson,Mrs. Robinson
11,Album Of The Year,Work,By The Time I Get To Phoenix,Glen Campbell
11,Song Of The Year,Individual,Little Green Apples,Little Green Apples
11,Best New Artist Of The Year,Individual,Jose Feliciano,Jose Feliciano
11,Best Instrumental Arrangement,Individual,Classical Gas,Classical Gas
11,Best Arrangement Accompanying Vocalist(s),Individual,Mac Arthur Park,Mac Arthur Park
11,Best Engineered Recording (Non-Classical),Work,Wichita Lineman,Glen Campbell
11,Best Album Cover,Individual,Underground,Underground
11,Best Album Notes,Individual,Johnny Cash At Folsom Prison,Johnny Cash At Folsom Prison
11,"Best Contemporary Pop Vocal Performance, Female",Individual,Do You Know The Way To San Jose?,Do You Know The Way To San Jose?
11,"Best Contemporary Pop Vocal Performance, Male",Individual,Light My Fire,Light My Fire
11,Best Contemporary Pop Performance - Vocal Duo Or Group,Individual,Mrs. Robinson,Mrs. Robinson
11,"Best Contemporary Pop Performance, Chorus",Individual,Mission Impossible/Norwegian Wood Medley,Mission Impossible/Norwegian Wood Medley
11,"Best Contemporary Pop Performance, Instrumental",Individual,Classical Gas,Classical Gas
11,"Best Rhythm & Blues Vocal Performance, Female",Work,Chain Of Fools,Aretha Franklin
11,"Best Rhythm & Blues Vocal Performance, Male",Individual,(Sittin' On) The Dock Of The Bay,(Sittin' On) The Dock Of The Bay
11,"Best Rhythm & Blues Performance By A Duo Or Group, Vocal Or Instrumental",Individual,Cloud Nine,Cloud Nine
11,Best Rhythm & Blues Song,Individual,(Sittin' On) The Dock Of The Bay,(Sittin' On) The Dock Of The Bay
11,"Best Country Vocal Performance, Female",Individual,Harper Valley P.T.A.,Harper Valley P.T.A.
11,"Best Country Vocal Performance, Male",Individual,Folsom Prison Blues,Folsom Prison Blues
11,"Best Country Performance, Duo Or Group - Vocal Or Instrumental",Individual,Foggy Mountain Breakdown,Foggy Mountain Breakdown
11,Best Country Song,Individual,Little Green Apples,Little Green Apples
11,Best Sacred Performance,Individual,Beautiful Isle Of Somewhere,Beautiful Isle Of Somewhere
11,Best Gospel Performance,Individual,The Happy Gospel Of The Happy Goodmans,The Happy Gospel Of The Happy Goodmans
11,Best Soul Gospel Performance,Individual,The Soul Of Me,The Soul Of Me
11,Best Folk Performance,Individual,Both Sides Now,Both Sides Now
11,Best Instrumental Theme,Individual,Classical Gas,Classical Gas
11,Best Original Score Written For A Motion Picture Or A Television Special,Individual,The Graduate,The Graduate
11,Best Score From An Original Cast Show Album,Individual,Hair,Hair
11,Best Comedy Recording,Individual,"To Russell, My Brother, Whom I Slept With","To Russell, My Brother, Whom I Slept With"
11,Best Spoken Word Recording,Individual,Lonesome Cities,Lonesome Cities
11,Best Instrumental Jazz Performance - Small Group Or Soloist With Small Group,Individual,Bill Evans At The Montreux Jazz Festival,Bill Evans At The Montreux Jazz Festival
11,Best Instrumental Jazz Performance - Large Group Or Soloist With Large Group,Work,And His Mother Called Him Bill,Duke Ellington
11,Best Classical Performance - Orchestra,Work,Boulez Conducts Debussy (La Mer; Prelude A L'Apres-Midi D'Un Faune; Jeux),Pierre Boulez
11,Best Chamber Music Performance,Individual,"Glory Of Gabrieli Vol. II - Canzonas For Brass, Winds, Strings And Organ","Glory Of Gabrieli Vol. II - Canzonas For Brass, Winds, Strings And Organ"
11,Best Opera Recording,Individual,Mozart: Cosi Fan Tutte,Mozart: Cosi Fan Tutte
11,Best Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),Work,"Horowitz On Television (Chopin, Scriabin, Scarlatti, Horowitz)",Vladimir Horowitz
11,Best Choral Performance (Other Than Opera),Individual,The Glory Of Gabrieli,The Glory Of Gabrieli
11,Best Vocal Soloist Performance,Individual,Rossini: Rarities,Rossini: Rarities
